python开发工程师, 深圳市橙智科技有限公司, 15-50人, 不需要融资, 股票期权|专项奖金|绩效奖金|通讯津贴, 移动互联网, 开发|测试|运维类|后端开发|后端开发, 15k-30k, 全职, 本科
python开发工程师, 便利蜂商贸有限公司, 2000人以上, 不需要融资, 弹性工作|美女多|帅哥多|领导好, 消费生活, 开发|测试|运维类|后端开发|Python, 20k-40k, 全职, 本科
Python开发工程师, 圆通速递有限公司, 2000人以上, 上市公司, 技能培训|免费班车|专项奖金|岗位晋升, 物流丨运输, 开发|测试|运维类|后端开发|其他后端开发, 15k-30k, 全职, 本科
西安子公司- Python 后台开发工程师, 腾讯科技（深圳）有限公司, 2000人以上, 上市公司, 免费班车|成长空间|年度旅游|岗位晋升, 社交, 开发|测试|运维类|后端开发|全栈, 20k-30k, 全职, 本科
python, 上海兆殷特科技有限公司, 50-150人, 未融资, 节日礼物|股票期权|带薪年假|绩效奖金, 移动互联网,企业服务, 开发|测试|运维类|后端开发|Python, 10k-18k, 全职, 大专
python开发, 武汉佰钧成技术有限责任公司, 2000人以上, 不需要融资, 带薪年假|计算机软件|管理规范|定期体检, 移动互联网, 开发|测试|运维类|后端开发|Python, 8k-14k, 全职, 本科
python工程师, 一点网聚科技有限公司, 500-2000人, D轮及以上, 带薪年假|扁平管理|弹性工作|领导好, 文娱丨内容, 开发|测试|运维类|后端开发|Python, 15k-30k, 全职, 本科
python工程师, 一点网聚科技有限公司, 500-2000人, D轮及以上, 带薪年假|扁平管理|弹性工作|领导好, 文娱丨内容, 开发|测试|运维类|后端开发|Python, 15k-25k, 全职, 硕士
Python开发工程师, 深圳数池科技有限公司, 少于15人, 天使轮, , 企业服务,社交, 开发|测试|运维类|后端开发|Python, 20k-35k, 全职, 本科
Python开发工程师, 云势天下（北京）软件有限公司, 150-500人, B轮, 年底双薪|专项奖金|绩效奖金|带薪年假, 企业服务, 开发|测试|运维类|后端开发|Python, 10k-15k, 全职, 大专
python开发工程师, 云势天下（北京）软件有限公司, 150-500人, B轮, 年底双薪|专项奖金|绩效奖金|带薪年假, 企业服务, 开发|测试|运维类|后端开发|Python, 18k-25k, 全职, 本科
Python开发工程师, 武汉乐谷在线科技有限公司, 50-150人, A轮, 专项奖金|带薪年假|弹性工作|年度旅游, 游戏, 开发|测试|运维类|后端开发|Python, 6k-12k, 全职, 大专
Python研发工程师, 深圳个尚科技有限公司, 15-50人, 天使轮, , 电商, 开发|测试|运维类|后端开发|Python, 13k-18k, 全职, 本科
Python, 杭州知衣科技有限公司, 50-150人, A轮, 大牛团队|扁平管理|年底双薪|股票期权, 移动互联网,电商, 开发|测试|运维类|后端开发|Python, 20k-35k, 全职, 本科
Python工程师, 深圳市紫川软件有限公司, 500-2000人, 不需要融资, 节日礼物|年底双薪|绩效奖金|岗位晋升, 电商,金融, 开发|测试|运维类|后端开发|Python, 13k-20k, 全职, 本科
Python开发工程师, 上海灏程信息科技有限公司, 15-50人, 不需要融资, 带薪年假|弹性工作|节日礼物|扁平管理, 体育,软件开发, 开发|测试|运维类|后端开发|Python, 15k-30k, 全职, 大专
python开发工程师, 深圳市微赢世纪网络科技有限公司, 15-50人, 天使轮, 大牛带队|技能培训|股票期权|扁平管理, 人工智能,工具, 开发|测试|运维类|后端开发|Python, 15k-30k, 全职, 本科
python开发工程师, 深圳市普特生物医学工程有限公司, 150-500人, 不需要融资, , 医疗丨健康, 开发|测试|运维类|后端开发|Python, 15k-24k, 全职, 本科
python, 易宝软件科技（南京）有限公司, 150-500人, 上市公司, , 移动互联网, 开发|测试|运维类|后端开发|Python, 10k-20k, 全职, 本科
Python工程师, 杭州映云科技有限公司, 15-50人, A轮, 开源软件|全球运营|股票期权|带薪年假, 企业服务,物联网, 开发|测试|运维类|后端开发|Java, 6k-12k, 全职, 本科
Python开发工程师, 深圳市光逸科技创新有限公司, 50-150人, 不需要融资, 技能培训|节日礼物|带薪年假|绩效奖金, 电商, 开发|测试|运维类|后端开发|Python, 15k-20k, 全职, 本科
python开发工程师, 深圳市圆代码互联网有限公司, 少于15人, 天使轮, , 移动互联网, 开发|测试|运维类|后端开发|Python, 10k-20k, 全职, 硕士
python开发工程师, 深圳市橙智科技有限公司, 15-50人, 不需要融资, 股票期权|专项奖金|绩效奖金|通讯津贴, 移动互联网, 开发|测试|运维类|后端开发|后端开发, 15k-30k, 全职, 本科
Python开发工程师, 特赞（上海）信息科技有限公司, 150-500人, B轮, 技能培训|扁平管理|弹性工作|全员持股, 移动互联网, 开发|测试|运维类|后端开发|Python, 20k-30k, 全职, 本科
西安子公司- Python 后台开发工程师, 腾讯科技（深圳）有限公司, 2000人以上, 上市公司, 免费班车|成长空间|年度旅游|岗位晋升, 社交, 开发|测试|运维类|后端开发|全栈, 20k-30k, 全职, 本科
python后端工程师, 浙江天垂科技有限公司, 15-50人, 天使轮, 硅谷技术|MAC环境|股票期权|绩效奖金, 数据服务,企业服务, 开发|测试|运维类|后端开发|Python, 15k-30k, 全职, 本科
python开发工程师, 腾讯科技（深圳）有限公司, 2000人以上, 上市公司, 免费班车|成长空间|年度旅游|岗位晋升, 社交, 开发|测试|运维类|后端开发|Python, 20k-40k, 全职, 本科
高级Python工程师, 深圳市前海房极客网络科技有限公司, 150-500人, B轮, 高成长性|弹性工作|股票期权|零食自取, 移动互联网,企业服务, 开发|测试|运维类|后端开发|Python, 10k-20k, 全职, 本科
Java+Python, 奥解思信息科技（上海）有限公司, 500-2000人, 上市公司, , 金融, 开发|测试|运维类|后端开发|Java, 15k-21k, 全职, 本科
Python 后端项目经理, 深圳市乐瀛科技有限公司, 15-50人, 未融资, 绩效奖金|年底双薪|年度旅游|领导好, 移动互联网,电商, 开发|测试|运维类|后端开发|Python, 11k-22k, 全职, 大专
高级Python工程师, 深圳市前海房极客网络科技有限公司, 150-500人, B轮, 高成长性|弹性工作|股票期权|零食自取, 移动互联网,企业服务, 开发|测试|运维类|后端开发|Python, 10k-20k, 全职, 本科
python后端开发工程师, 深圳开思时代科技有限公司, 500-2000人, C轮, 节日礼物|年底双薪|股票期权|扁平管理, 移动互联网,电商, 开发|测试|运维类|后端开发|Python, 20k-30k, 全职, 本科
高级Python爬虫工程师, 深圳市前海房极客网络科技有限公司, 150-500人, B轮, 高成长性|弹性工作|股票期权|零食自取, 移动互联网,企业服务, 开发|测试|运维类|数据开发|爬虫, 10k-20k, 全职, 本科
高级python研发工程师, 北京云杉智达科技有限公司, 15-50人, 不需要融资, 绩效奖金|扁平管理|岗位晋升|五险一金, 移动互联网,企业服务, 开发|测试|运维类|后端开发|Python, 20k-35k, 全职, 本科
Python后端, 北京云杉智达科技有限公司, 15-50人, 不需要融资, 绩效奖金|扁平管理|岗位晋升|五险一金, 移动互联网,企业服务, 开发|测试|运维类|后端开发|Python, 10k-15k, 全职, 本科
Python高级开发工程师, 深圳市明源云客电子商务有限公司, 2000人以上, 上市公司, 高额六险一金|年底双薪|绩效奖金|N项经费, 电商, 开发|测试|运维类|后端开发|Java, 15k-30k, 全职, 本科
python开发工程师, 北京字节跳动科技有限公司, 2000人以上, C轮, 扁平管理|弹性工作|大厨定制三餐|就近租房补贴, 文娱丨内容, 开发|测试|运维类|后端开发|Python, 20k-35k, 全职, 本科
Python开发工程师, 易宝软件科技（南京）有限公司, 150-500人, 上市公司, , 移动互联网, 开发|测试|运维类|后端开发|Python, 10k-15k, 全职, 本科
Python开发工程师, 上海正见文化传播有限公司, 150-500人, D轮及以上, , 广告营销,金融, 开发|测试|运维类|后端开发|Python, 9k-12k, 全职, 本科
Python开发工程师, 北京字节跳动科技有限公司, 2000人以上, C轮, 扁平管理|弹性工作|大厨定制三餐|就近租房补贴, 文娱丨内容, 开发|测试|运维类|后端开发|Python, 25k-40k, 全职, 本科
python开发, 福州蓝鲨信息技术有限公司, 15-50人, 天使轮, , 移动互联网,信息安全, 开发|测试|运维类|后端开发|Python, 2k-3k, 实习, 大专
python开发工程师, 北京棕榈创想科技有限公司, 150-500人, A轮, 绩效奖金|交通补助|定期体检|午餐补助, 移动互联网, 开发|测试|运维类|后端开发|Python, 10k-20k, 全职, 本科
Python开发工程师, 北京汉迪移动互联网科技股份有限公司, 150-500人, 不需要融资, 带薪年假|定期体检|文化open|扁平化管理, 移动互联网, 开发|测试|运维类|后端开发|PHP, 15k-30k, 全职, 本科
Python开发工程师, 建信金融科技有限责任公司, 2000人以上, 不需要融资, 绩效奖金|带薪年假|交通补助|通讯津贴, 金融,软件开发, 开发|测试|运维类|后端开发|Python, 25k-50k, 全职, 本科
大平台 福利待遇优厚,python开发工程师,3-5年,本科,全职,上市公司,深圳,20k-40k,大平台 福利待遇优厚,
一年一次国外旅游,Python 后端项目经理,3-5年,大专,全职,未融资,深圳,11k-22k,一年一次国外旅游,
