大众 朗行 2013款 1.6L 自动舒适型, 2014年,2.7万公里, 到店服务, 6.28万大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2015年,7.7万公里, 到店服务, 5.91万大众 宝来 2015款 质惠版 1.6L 自动舒适型, 2016年,4.0万公里, 到店服务, 6.49万大众 宝来 2011款 1.4T 手动舒适型, 2011年,9.2万公里, 到店服务, 3.26万日产 轩逸 2012款 1.6XL CVT豪华版, 2013年,9.8万公里, 到店服务, 5.64万哈弗H1 2016款 改款 蓝标 1.5L 手动舒适型, 2016年,3.8万公里, 到店服务, 3.52万别克 君威 2014款 2.0L 精英时尚型, 2015年,5.1万公里, 到店服务, 7.56万菲亚特 菲翔 2017款 1.4T 自动悦享版, 2018年,0.8万公里, 到店服务, 5.75万别克GL8 2014款 2.4L 经典版, 2016年,8.1万公里, 到店服务, 9.10万丰田 YARiS L 致炫 2019款 1.5E CVT魅动版 国VI, 2019年,0.6万公里, 到店服务, 6.87万大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2015年,6.9万公里, 到店服务, 6.57万本田 缤智 2015款 1.8L CVT两驱豪华型, 2015年,7.7万公里, 到店服务, 9.40万大众 途观 2016款 300TSI 自动两驱风尚版, 2016年,8.0万公里, 到店服务, 11.91万大众 朗行 2013款 1.6L 自动舒适型, 2015年,3.8万公里, 到店服务, 6.47万起亚 智跑 2015款 2.0L 自动两驱版DLX, 2015年,6.3万公里, 到店服务, 7.91万别克 昂科威 2014款 28T 四驱豪华型, 2015年,5.6万公里, 到店服务, 12.63万中华H330 2013款 1.5L 自动豪华型, 2014年,6.6万公里, 到店服务, 2.96万宝马3系 2016款 316Li 时尚型, 2016年,5.8万公里, 到店服务, 17.10万荣威550 2014款 550S 1.8L 自动智选版, 2015年,3.4万公里, 到店服务, 4.56万日产 阳光 2015款 1.5XE CVT大师版, 2016年,4.7万公里, 到店服务, 5.12万本田 锋范经典 2008款 1.5L 自动精英版, 2011年,10.0万公里, 到店服务, 4.24万现代 朗动 2012款 1.6L 自动领先型, 2013年,7.2万公里, 到店服务, 5.10万别克 昂科拉 2014款 1.4T 自动两驱都市精英型, 2014年,4.0万公里, 到店服务, 6.10万大众 朗行 2013款 1.4TSI 自动舒适型, 2015年,9.8万公里, 到店服务, 6.78万现代 全新胜达 2013款 2.4L 自动两驱智能型, 2015年,7.7万公里, 到店服务, 9.66万现代 途胜 2013款 2.0L 自动两驱舒适型, 2016年,3.7万公里, 到店服务, 6.77万福特 翼搏 2013款 1.5L 自动风尚型, 2015年,4.8万公里, 到店服务, 5.19万日产 天籁 2013款 2.0L XL舒适版, 2013年,8.1万公里, 到店服务, 8.54万福特 福克斯 2017款 两厢 1.6L 自动舒适型智行版, 2017年,9.4万公里, 到店服务, 6.03万现代 途胜 2015款 1.6T 双离合两驱智能型, 2016年,5.6万公里, 到店服务, 9.63万本田 雅阁 2014款 2.0L LX 舒适版, 2014年,3.4万公里, 到店服务, 10.59万本田CR-V 2012款 2.0L 四驱经典版, 2012年,13.6万公里, 到店服务, 8.99万大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2017年,6.2万公里, 到店服务, 7.37万大众 速腾 2014款 1.4TSI 自动豪华型, 2014年,8.5万公里, 到店服务, 7.43万长安CS75 2014款 1.8T 自动精英型 国IV, 2015年,6.5万公里, 到店服务, 6.40万哈弗H6 2015款 运动版 1.5T 自动两驱豪华型, 2016年,6.3万公里, 到店服务, 5.81万大众 凌渡 2015款 230TSI 手动风尚版, 2016年,7.6万公里, 到店服务, 7.43万大众 速腾 2014款 1.4TSI 自动豪华型, 2014年,9.0万公里, 到店服务, 6.83万起亚K2 2012款 两厢 1.4L AT 炫酷纪念版, 2013年,4.8万公里, 到店服务, 4.36万马自达 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V, 2018年,4.5万公里, 到店服务, 8.73万大众 朗行 2013款 1.6L 自动舒适型, 2014年,2.7万公里, 到店服务, 6.28万
大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2015年,7.7万公里, 到店服务, 5.91万
大众 宝来 2011款 1.4T 手动舒适型, 2011年,9.2万公里, 到店服务, 3.26万
日产 轩逸 2012款 1.6XL CVT豪华版, 2013年,9.8万公里, 到店服务, 5.64万
哈弗H1 2016款 改款 蓝标 1.5L 手动舒适型, 2016年,3.8万公里, 到店服务, 3.52万
别克 君威 2014款 2.0L 精英时尚型, 2015年,5.1万公里, 到店服务, 7.56万
菲亚特 菲翔 2017款 1.4T 自动悦享版, 2018年,0.8万公里, 到店服务, 5.75万
别克GL8 2014款 2.4L 经典版, 2016年,8.1万公里, 到店服务, 9.10万
丰田 YARiS L 致炫 2019款 1.5E CVT魅动版 国VI, 2019年,0.6万公里, 到店服务, 6.87万
大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2015年,6.9万公里, 到店服务, 6.57万
本田 缤智 2015款 1.8L CVT两驱豪华型, 2015年,7.7万公里, 到店服务, 9.40万
大众 途观 2016款 300TSI 自动两驱风尚版, 2016年,8.0万公里, 到店服务, 11.91万
大众 朗行 2013款 1.6L 自动舒适型, 2015年,3.8万公里, 到店服务, 6.47万
起亚 智跑 2015款 2.0L 自动两驱版DLX, 2015年,6.3万公里, 到店服务, 7.91万
别克 昂科威 2014款 28T 四驱豪华型, 2015年,5.6万公里, 到店服务, 12.63万
中华H330 2013款 1.5L 自动豪华型, 2014年,6.6万公里, 到店服务, 2.96万
宝马3系 2016款 316Li 时尚型, 2016年,5.8万公里, 到店服务, 17.10万
荣威550 2014款 550S 1.8L 自动智选版, 2015年,3.4万公里, 到店服务, 4.56万
日产 阳光 2015款 1.5XE CVT大师版, 2016年,4.7万公里, 到店服务, 5.12万
本田 锋范经典 2008款 1.5L 自动精英版, 2011年,10.0万公里, 到店服务, 4.24万
现代 朗动 2012款 1.6L 自动领先型, 2013年,7.2万公里, 到店服务, 5.10万
别克 昂科拉 2014款 1.4T 自动两驱都市精英型, 2014年,4.0万公里, 到店服务, 6.10万
大众 朗行 2013款 1.4TSI 自动舒适型, 2015年,9.8万公里, 到店服务, 6.78万
现代 全新胜达 2013款 2.4L 自动两驱智能型, 2015年,7.7万公里, 到店服务, 9.66万
现代 途胜 2013款 2.0L 自动两驱舒适型, 2016年,3.7万公里, 到店服务, 6.77万
福特 翼搏 2013款 1.5L 自动风尚型, 2015年,4.8万公里, 到店服务, 5.19万
日产 天籁 2013款 2.0L XL舒适版, 2013年,8.1万公里, 到店服务, 8.54万
福特 福克斯 2017款 两厢 1.6L 自动舒适型智行版, 2017年,9.4万公里, 到店服务, 6.03万
现代 途胜 2015款 1.6T 双离合两驱智能型, 2016年,5.6万公里, 到店服务, 9.63万
本田 雅阁 2014款 2.0L LX 舒适版, 2014年,3.4万公里, 到店服务, 10.59万
本田CR-V 2012款 2.0L 四驱经典版, 2012年,13.6万公里, 到店服务, 8.99万
大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2017年,6.2万公里, 到店服务, 7.37万
大众 速腾 2014款 1.4TSI 自动豪华型, 2014年,8.5万公里, 到店服务, 7.43万
长安CS75 2014款 1.8T 自动精英型 国IV, 2015年,6.5万公里, 到店服务, 6.40万
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型, 2016年,6.3万公里, 到店服务, 5.81万
大众 凌渡 2015款 230TSI 手动风尚版, 2016年,7.6万公里, 到店服务, 7.43万
大众 速腾 2014款 1.4TSI 自动豪华型, 2014年,9.0万公里, 到店服务, 6.83万
起亚K2 2012款 两厢 1.4L AT 炫酷纪念版, 2013年,4.8万公里, 到店服务, 4.36万
马自达 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V, 2018年,4.5万公里, 到店服务, 8.73万
别克 威朗 2019款 三厢 15S 自动进取型, 2019年,0.1万公里, 到店服务, 11.14万
菲亚特 菲翔 2017款 1.4T 自动悦享版, 2017年,7.8万公里, 到店服务, 5.26万
本田CR-V 2013款 2.4L 两驱豪华版, 2014年,6.2万公里, 到店服务, 12.68万
本田 雅阁 2015款 2.0L LX 舒适版, 2015年,7.2万公里, 到店服务, 11.52万
长安 悦翔V7 2016款 1.6L 手动乐尚型 国V, 2016年,2.4万公里, 到店服务, 3.33万
雪佛兰 迈锐宝 2016款 2.0L 自动舒适版, 2016年,4.6万公里, 到店服务, 8.26万
斯柯达 昕动 2016款 1.6L 自动创行版, 2016年,2.4万公里, 到店服务, 5.85万
起亚 2015款 索兰托L 2.4L 汽油4WD精英版 5座 国V(进口), 2016年,8.0万公里, 到店服务, 13.19万
日产 轩逸 2012款 经典 1.6XE 自动舒适版, 2016年,8.1万公里, 到店服务, 6.51万
起亚K3 2016款 1.6L 自动GL, 2016年,2.6万公里, 到店服务, 6.22万
别克 威朗 2019款 三厢 15S 自动领先型, 2019年,1.1万公里, 到店服务, 8.84万
斯柯达 昕锐 2013款 1.6L 自动乐选型, 2014年,6.9万公里, 到店服务, 5.10万
起亚K5 2014款 2.0L 自动LUXURY, 2015年,3.6万公里, 到店服务, 9.19万
起亚K3 2016款 1.6L 自动GL, 2018年,3.0万公里, 到店服务, 6.75万
大众 高尔夫 2018款 230TSI 自动舒适型, 2018年,2.6万公里, 到店服务, 11.63万
现代 途胜 2015款 1.6T 双离合两驱智能型, 2017年,5.4万公里, 到店服务, 10.40万
奔驰GLC级 2016款 GLC 300 4MATIC 动感型, 2016年,4.3万公里, 到店服务, 27.61万
大众POLO 2014款 1.6L 自动舒适版, 2016年,3.2万公里, 到店服务, 6.30万
大众 帕萨特 2016款 330TSI DSG尊荣版, 2016年,7.3万公里, 到店服务, 13.15万
日产 蓝鸟 2016款 1.6L CVT炫酷版, 2018年,2.0万公里, 到店服务, 8.45万
日产 阳光 2011款 1.5XE 手动舒适版, 2013年,14.3万公里, 到店服务, 2.79万
起亚K2 2012款 三厢 1.4L AT GLS纪念版, 2015年,7.4万公里, 到店服务, 4.70万
日产 奇骏 2014款 2.0L CVT舒适版 2WD, 2017年,7.4万公里, 到店服务, 12.84万
凯迪拉克ATS-L 2016款 28T 时尚型, 2016年,5.5万公里, 到店服务, 15.05万
雪铁龙 C4世嘉 2018款 1.6L 自动豪华型, 2018年,1.7万公里, 到店服务, 7.04万
吉利 博越 2016款 1.8TD 自动智慧型, 2017年,5.5万公里, 到店服务, 7.61万
大众POLO 2014款 1.4L 手动风尚版, 2015年,6.2万公里, 到店服务, 4.19万
长安CS35 2017款 1.6L 自动豪华型, 2017年,2.6万公里, 到店服务, 4.89万
斯柯达 昕锐 2016款 1.6L 手动创行版, 2017年,3.9万公里, 到店服务, 4.82万
本田 奥德赛 2015款 改款 2.4L 智享版, 2018年,4.1万公里, 到店服务, 21.47万
日产 天籁 2016款 2.0L XE时尚版, 2017年,5.1万公里, 到店服务, 11.80万
路虎 揽胜极光 2015款 2.0T 五门风尚版, 2016年,6.7万公里, 到店服务, 18.79万
雷克萨斯NX 2017款 200 前驱 锋行版, 2018年,1.9万公里, 到店服务, 24.74万
雪佛兰 迈锐宝 2017款 1.5T 自动豪华版, 2017年,3.6万公里, 到店服务, 9.68万
大众 朗逸 2015款 1.6L 自动舒适版, 2016年,4.3万公里, 到店服务, 7.41万
奇瑞 瑞虎5 2016款 2.0L CVT家悦版, 2016年,10.9万公里, 到店服务, 4.92万
奥迪Q5 2016款 40 TFSI 技术型, 2016年,10.8万公里, 到店服务, 21.39万
宝马5系 2011款 523Li 豪华型, 2011年,14.2万公里, 到店服务, 15.42万
马自达 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V, 2018年,3.9万公里, 到店服务, 9.29万
本田 飞度 2016款 1.5L LXS CVT舒适天窗版, 2016年,8.7万公里, 到店服务, 6.38万
别克 君越 2016款 20T 精英型, 2017年,8.1万公里, 到店服务, 12.91万
宝马3系 2015款 320i 超悦版时尚型, 2015年,4.5万公里, 到店服务, 16.82万
金杯 海狮X30L 2018款 1.5L商务版DLCG14, 2018年,2.6万公里, 到店服务, 3.70万
本田 飞度 2018款 1.5L 手动舒适版, 2019年,0.9万公里, 到店服务, 6.59万
起亚 智跑 2018款 2.0L 自动智享豪华版 国V, 2018年,3.0万公里, 到店服务, 11.05万
吉利 帝豪 2016款 三厢 1.5L 手动豪华型, 2016年,4.9万公里, 到店服务, 3.63万
奥迪A4L 2016款 35 TFSI 典藏版 自动标准型, 2016年,3.2万公里, 到店服务, 17.38万
奔驰GLA级 2015款 GLA 200(进口), 2015年,5.4万公里, 到店服务, 15.05万
本田 飞度 2018款 1.5L CVT舒适版, 2018年,3.0万公里, 到店服务, 6.79万
凯迪拉克ATS-L 2016款 28T 技术型, 2016年,4.7万公里, 到店服务, 14.49万
奔驰E级 2018款 改款 E 200 L 运动型 4MATIC, 2018年,2.8万公里, 到店服务, 34.39万
起亚 智跑 2014款 2.0L 自动两驱版GLS, 2014年,9.8万公里, 到店服务, 7.15万
日产 轩逸 2014款 1.6XV CVT尊享版, 2015年,5.9万公里, 到店服务, 7.13万
大众 高尔夫 2014款 1.6L 自动舒适型, 2014年,9.0万公里, 到店服务, 8.28万
现代 途胜 2015款 1.6T 双离合两驱智能型, 2017年,4.5万公里, 到店服务, 10.80万
大众 迈腾 2013款 2.0TSI 豪华型, 2014年,7.5万公里, 到店服务, 10.46万
日产 骊威 2010款 劲锐版 1.6L 自动标准型, 2012年,10.4万公里, 到店服务, 4.54万
斯柯达 明锐 2016款 1.6L 自动前行版, 2016年,10.8万公里, 到店服务, 6.05万
丰田 威驰 2016款 1.5L 自动智臻星耀版, 2016年,4.6万公里, 到店服务, 7.07万
本田 歌诗图 2012款 2.4L 豪华版, 2012年,10.7万公里, 到店服务, 10.59万
Jeep 指南者 2017款 200T 自动家享版, 2019年,1.0万公里, 到店服务, 11.91万
本田 艾力绅 2016款 2.4L 至尊版, 2016年,5.8万公里, 到店服务, 23.79万
别克 英朗 2018款 15T 双离合精英型 国V, 2018年,2.2万公里, 到店服务, 6.41万
起亚K3 2016款 1.6L 手动GL, 2017年,4.8万公里, 到店服务, 5.58万
日产 蓝鸟 2018款 1.6L CVT炫酷潮音版, 2018年,2.3万公里, 到店服务, 8.36万
菲亚特 菲翔 2017款 1.4T 自动悦享版, 2017年,1.1万公里, 到店服务, 5.63万
大众 朗逸 2013款 改款经典 1.6L 自动风尚版, 2016年,8.6万公里, 到店服务, 6.22万
大众 高尔夫·嘉旅 2019款 280TSI 自动守望型 国V, 2019年,300公里, 店服务, 13.29万
五菱宏光PLUS 2019款 1.5T 手动豪华型 7座, 2019年,0.2万公里, 到店服务, 6.58万
大众CC 2012款 1.8TSI 豪华型, 2012年,3.6万公里, 到店服务, 11.80万
别克 威朗 2018款 三厢 15S 自动领先型, 2018年,2.5万公里, 到店服务, 9.19万
现代 名图 2014款 1.8L 自动智能型GLS, 2016年,9.7万公里, 到店服务, 8.16万
奔驰B级 2017款 B 200 时尚型(进口), 2018年,2.0万公里, 到店服务, 17.49万
丰田 YARiS L 致炫 2015款 1.5E 自动魅动版, 2016年,5.7万公里, 到店服务, 6.61万
奔驰C级 2016款 C 200 L 4MATIC 运动版, 2016年,5.2万公里, 到店服务, 24.18万
大众 高尔夫 2016款 1.6L 自动舒适型, 2017年,1.9万公里, 到店服务, 9.01万
本田XR-V 2017款 1.8L EXi CVT舒适版, 2018年,0.5万公里, 到店服务, 15.06万
起亚K3 2016款 1.6L 自动GL, 2018年,5.6万公里, 到店服务, 6.68万
大众 宝来 2018款 1.5L 自动舒适型, 2018年,1.6万公里, 到店服务, 8.54万
日产 骐达 2019款 1.6L CVT智行版 国VI, 2019年,0.8万公里, 到店服务, 8.84万
哈弗H2 2016款 红标 1.5T 自动两驱豪华型, 2016年,5.3万公里, 到店服务, 6.27万
大众 宝来 2014款 1.6L 自动舒适型, 2014年,4.9万公里, 到店服务, 5.86万
斯柯达 明锐 2013款 1.6L 自动逸俊版, 2013年,4.7万公里, 到店服务, 5.03万
别克 君威 2015款 1.6T 领先技术型, 2016年,4.7万公里, 到店服务, 8.47万
大众CC 2013款 1.8TSI 豪华型, 2014年,3.5万公里, 到店服务, 12.84万
日产 轩逸 2012款 经典 1.6XE 手动舒适版, 2015年,5.4万公里, 到店服务, 4.28万
别克 英朗 2013款 GT 1.6L 自动时尚版, 2012年,7.5万公里, 到店服务, 4.90万
雪佛兰 科鲁兹 2012款 1.6L SL天地版 AT, 2013年,1.9万公里, 到店服务, 4.64万
大众 宝来 2014款 1.6L 手动时尚型, 2014年,8.8万公里, 到店服务, 4.00万
别克GL8 2014款 2.4L CT豪华商务舒适版, 2017年,5.8万公里, 到店服务, 15.54万
大众 迈腾 2015款 1.8TSI 领先型, 2015年,5.2万公里, 到店服务, 10.71万
别克 昂科拉 2013款 1.4T 自动两驱精英型, 2013年,8.3万公里, 到店服务, 5.12万
大众 朗逸 2011款 1.6L 自动品轩版, 2011年,10.8万公里, 到店服务, 3.64万
哈弗H6 2014款 运动版 1.5T 手动两驱精英型, 2015年,6.2万公里, 到店服务, 5.16万
别克 君越 2013款 2.4L SIDI领先舒适型, 2014年,7.6万公里, 到店服务, 9.19万
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版, 2013年,7.0万公里, 到店服务, 6.60万
别克 君越 2012款 2.4L SIDI豪雅版, 2013年,8.6万公里, 到店服务, 8.50万
大众 高尔夫 2015款 1.4TSI 自动舒适型, 2015年,6.7万公里, 到店服务, 8.36万
大众 捷达 2013款 1.4L 手动舒适型, 2014年,7.0万公里, 到店服务, 3.67万
荣威350 2015款 1.5L 自动豪华天窗版, 2015年,3.9万公里, 到店服务, 3.91万
雪铁龙 爱丽舍 2016款 1.6L 手动时尚型, 2016年,7.5万公里, 到店服务, 3.61万
奥迪Q5 2015款 40 TFSI 进取型, 2015年,10.6万公里, 到店服务, 19.63万
斯柯达 昊锐 2010款 1.4TSI DSG智雅版, 2011年,7.6万公里, 到店服务, 4.65万
标致3008 2013款 1.6THP 自动至尚版, 2013年,8.7万公里, 到店服务, 5.86万
北汽绅宝 绅宝X25 2015款 1.5L 手动舒适型, 2017年,4.3万公里, 到店服务, 3.30万
本田 凌派 2015款 1.8L 自动超配限量版, 2015年,5.4万公里, 到店服务, 7.82万
大众 迈腾 2016款 1.8TSI 智享舒适型, 2016年,8.5万公里, 到店服务, 11.35万
大众 2016款 途安L 280TSI 自动舒雅版, 2017年,2.7万公里, 到店服务, 11.63万
现代ix35 2012款 2.0L 自动两驱精英版GLS, 2012年,6.6万公里, 到店服务, 6.33万
本田 飞度 2014款 1.5L LX CVT舒适型, 2016年,6.3万公里, 到店服务, 6.03万
别克 英朗 2016款 15N 自动精英型, 2017年,10.1万公里, 到店服务, 6.24万
雪铁龙C5 2013款 2.0L 自动尊享型, 2014年,8.1万公里, 到店服务, 6.96万
斯柯达 明锐 2015款 1.6L 自动逸俊版, 2015年,4.6万公里, 到店服务, 7.90万
别克 英朗 2013款 GT 1.6L 自动时尚版, 2014年,7.3万公里, 到店服务, 5.77万
大众 迈腾 2015款 改款 1.8TSI 豪华型, 2015年,13.2万公里, 到店服务, 11.72万
大众 宝来 2011款 1.6L 手动时尚型, 2011年,9.0万公里, 到店服务, 3.20万
别克GL8 2014款 2.4L 经典版, 2016年,8.4万公里, 到店服务, 9.68万
福特 福克斯 2012款 三厢 1.6L 自动舒适型, 2012年,5.9万公里, 到店服务, 4.77万
起亚K2 2015款 三厢 1.4L MT GLS, 2016年,4.5万公里, 到店服务, 4.14万
本田 飞度 2018款 1.5L CVT舒适天窗版, 2018年,0.8万公里, 到店服务, 9.70万
福特 福睿斯 2017款 1.5L 自动舒适型, 2017年,3.2万公里, 到店服务, 6.03万
